name,location,link,tags,description
Phoenix Bee City USA Program,"Phoenix, AZ",phoenix.gov/oep/bee-city-usa,"Bee City USA, Native Pollinators, Public Gardens, Pesticide Reduction, Education","Phoenix's Bee City USA program supports native pollinators by expanding habitat, encouraging native planting, reducing pesticide risks, and coordinating public education and community conservation activities."
Maricopa Native Seed Library — Pollinator Pathway,"Phoenix, AZ",libguides.maricopa.edu/seed/pathway,"Native Seeds, Pollinator Habitat, Certification, Education, Community Gardens","The Maricopa Native Seed Library's Pollinator Pathway provides locally appropriate seeds, habitat guidance, and a regional certification program for residents and organizations creating pollinator-friendly spaces."
Portland Metro Beekeepers Association,"Portland, OR",portlandmetrobeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Portland Metro Beekeepers Association supports area beekeepers through meetings, classes, mentoring, apiary resources, and public education about bees and responsible beekeeping."
Oregon Bee Project,"Portland, OR",oregonbeeproject.org,"Native Bees, Research, Identification, Community Science, Education","Oregon Bee Project coordinates education, research, and community science focused on Oregon's native bee species and provides resources for identifying bees and improving pollinator habitat."
Xerces Society for Invertebrate Conservation,"Portland, OR",xerces.org,"Native Pollinators, Conservation, Habitat Restoration, Research, Education","The Portland-based Xerces Society protects bees, butterflies, and other invertebrates through habitat restoration, science, advocacy, pesticide reduction, and educational programs."
East Multnomah Soil and Water Conservation District,"Portland, OR",emswcd.org,"Native Plants, Pollinator Gardens, Conservation, Workshops, Habitat","The district provides workshops, grants, native-plant resources, and technical assistance that help Portland-area residents and organizations create healthy habitat for pollinators."
West Multnomah Soil and Water Conservation District,"Portland, OR",wmswcd.org,"Pollinator Habitat, Native Plants, Conservation, Technical Assistance, Education","West Multnomah Soil and Water Conservation District helps landowners and communities restore native habitat and manage landscapes that support bees, butterflies, birds, and other wildlife."
Portland Parks & Recreation — Ecologically Sustainable Landscapes,"Portland, OR",portland.gov/parks/nature,"Urban Habitat, Native Plants, Pollinators, Restoration, Community Science","Portland Parks & Recreation manages natural areas, native landscapes, and restoration programs that provide urban habitat for native bees, butterflies, and other pollinating species."
Leach Botanical Garden,"Portland, OR",leachgarden.org,"Botanical Garden, Native Plants, Pollinator Habitat, Education, Volunteering",Leach Botanical Garden maintains diverse plant collections and natural spaces in southeast Portland that support pollinators and provide opportunities for environmental education and volunteer projects.
Hoyt Arboretum Friends,"Portland, OR",hoytarboretum.org,"Trees, Pollinator Habitat, Education, Conservation, Community Programs","Hoyt Arboretum's plant collections and educational programs help visitors understand how trees, shrubs, and flowering plants support pollinators and urban biodiversity."
San Diego Pollinator Alliance,"San Diego, CA",rcdsandiego.org/san-diego-pollinator-alliance,"Native Pollinators, Coalition, Education, Habitat, Conservation","The San Diego Pollinator Alliance brings organizations and agencies together to protect native pollinators through education, science-based practices, habitat projects, and regional collaboration."
San Diego Bee City USA,"San Diego, CA",sandiego.gov/bees,"Bee City USA, Native Bees, Habitat, Pesticide Reduction, Public Education","The City of San Diego's Bee City USA program works to increase native plants and nesting sites, reduce pesticide use, and educate residents about conserving local pollinators."
San Diego County Beekeepers Society,"San Diego, CA",sdbeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","San Diego County Beekeepers Society connects local beekeepers through education, meetings, mentoring, swarm resources, and community outreach about honey bees."
San Diego Botanic Garden,"San Diego, CA",sdbg.org,"Botanical Garden, Native Plants, Butterflies, Pollinator Habitat, Education","San Diego Botanic Garden maintains plant collections and gardens that support bees, butterflies, birds, and other pollinators while offering conservation and educational programming."
California Native Plant Society — San Diego Chapter,"San Diego, CA",cnpssd.org,"Native Plants, Pollinator Habitat, Restoration, Conservation, Education","The San Diego Chapter promotes local native plants and ecosystem conservation through education, field programs, restoration, and resources for pollinator-friendly landscaping."
Pollinate Spring Valley,"San Diego, CA",thesvca.org/projects/pollinate-spring-valley,"Native Bees, Community Habitat, Native Plants, Education, Restoration","Pollinate Spring Valley mobilizes community members to restore native habitat and raise awareness of San Diego County's exceptional diversity of bees, butterflies, and other pollinators."
San Diego Zoo Wildlife Alliance — Pollinator Conservation,"San Diego, CA",sandiegozoowildlifealliance.org,"Pollinators, Wildlife Conservation, Education, Native Habitat, Research","The San Diego Zoo Wildlife Alliance supports pollinator conservation through native habitat, public education, research, and participation in the city's Bee City USA efforts."
Resource Conservation District of Greater San Diego County,"San Diego, CA",rcdsandiego.org,"Habitat Restoration, Pollinators, Agriculture, Conservation, Education","The district leads conservation, agriculture, and habitat projects across San Diego County, including pollinator education, native planting, and regional partnership programs."
Philadelphia Beekeepers Guild,"Philadelphia, PA",phillybeekeepers.org,"Urban Beekeeping, Honey Bees, Education, Mentorship, Community Outreach","Philadelphia Beekeepers Guild promotes sustainable urban beekeeping through education, meetings, mentoring, and public programs about bees and responsible hive management."
Philadelphia Orchard Project,"Philadelphia, PA",phillyorchards.org,"Pollinators, Community Orchards, Native Plants, Education, Urban Agriculture","Philadelphia Orchard Project supports community orchards and food forests where pollinators are essential, while providing education about bee health, habitat, and ecological gardening."
Pennsylvania Horticultural Society,"Philadelphia, PA",phsonline.org,"Pollinator Gardens, Urban Greening, Native Plants, Education, Community Projects","The Pennsylvania Horticultural Society leads neighborhood greening, garden education, and vacant-land projects that include native plants and climate-resilient habitat for pollinators."
Philadelphia Zoo — Mantua Pollinator Corridor,"Philadelphia, PA",philadelphiazoo.org/mantua-pollinator-corridor,"Pollinator Corridor, Native Plants, Community Habitat, Education, Urban Conservation",The Mantua Pollinator Corridor is a network of planted boxes and neighborhood habitat that supports local pollinators while serving as a visible community conservation and education project.
Bartram's Garden,"Philadelphia, PA",bartramsgarden.org,"Native Plants, Pollinator Habitat, Community Education, Urban Nature, Volunteering","Bartram's Garden provides native habitat, community gardening, environmental education, and volunteer opportunities along the Schuylkill River, supporting bees, butterflies, and urban biodiversity."
Morris Arboretum & Gardens,"Philadelphia, PA",morrisarboretum.org,"Botanical Garden, Native Plants, Pollinators, Research, Education",Morris Arboretum & Gardens maintains diverse plant collections and educational programs that demonstrate how gardens and native plants can support pollinators and other wildlife.
Fairmount Park Conservancy,"Philadelphia, PA",myphillypark.org,"Urban Parks, Pollinator Habitat, Native Plants, Restoration, Community Programs","Fairmount Park Conservancy supports park restoration, public programming, and stewardship projects across Philadelphia, including native landscapes that provide habitat for pollinators."
Southwest Center City Pollinator Pathway,"Philadelphia, PA",pollinator-pathway.org/towns/southwest-center-city-philadelphia,"Pollinator Pathway, Native Gardens, Pesticide Reduction, Community Network, Habitat","This neighborhood Pollinator Pathway connects small gardens, sidewalk planters, and public spaces into pesticide-free habitat for bees, butterflies, and other pollinating wildlife."
Miami Pollinators,"Miami, FL",miamipollinators.com,"Native Plants, Pollinator Habitat, Urban Greening, Education, Community Projects","Miami Pollinators is a nonprofit that creates greener, cooler neighborhoods by planting native and pollinator-supporting plants, trees, and shrubs across South Florida."
Miami-Dade Beekeepers Association,"Miami, FL",miamidadebeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Miami-Dade Beekeepers Association supports local beekeepers through meetings, training, practical resources, and public education about bee health and responsible beekeeping."
Fairchild Tropical Botanic Garden,"Miami, FL",fairchildgarden.org,"Tropical Plants, Butterflies, Pollinator Research, Education, Conservation","Fairchild Tropical Botanic Garden conducts plant conservation and education while maintaining gardens that support butterflies, bees, hummingbirds, and other tropical pollinators."
Miami Beach Botanical Garden,"Miami, FL",mbgarden.org,"Botanical Garden, Butterflies, Native Plants, Pollinator Habitat, Education","Miami Beach Botanical Garden provides urban green space, native and tropical plant collections, educational programs, and habitat for butterflies, bees, and other pollinators."
Tropical Audubon Society,"Miami, FL",tropicalaudubon.org,"Native Plants, Pollinator Habitat, Birds, Conservation, Community Education","Tropical Audubon Society promotes native landscaping and habitat conservation in South Florida, including plant programs that support bees, butterflies, birds, and other wildlife."
The Kampong — National Tropical Botanical Garden,"Miami, FL",ntbg.org/gardens/kampong,"Tropical Botany, Pollinator Habitat, Conservation, Education, Research",The Kampong maintains tropical plant collections and conservation programs in Coconut Grove that provide opportunities to study plant-pollinator relationships in South Florida.
Miami-Dade County Extension — Urban Horticulture,"Miami, FL",sfyl.ifas.ufl.edu/miami-dade,"Pollinator Gardening, Native Plants, Extension Education, Community Outreach, Habitat","UF/IFAS Extension provides research-based gardening, native-plant, and pollinator education to Miami-Dade residents, schools, and community organizations."
Frost Science Museum — Museum Volunteers for the Environment,"Miami, FL",frostscience.org,"Biodiversity, Pollinators, Community Science, Education, Conservation","Frost Science connects Miami residents with biodiversity and environmental science through exhibits, community science, and conservation programs relevant to pollinators and urban habitats."
Austin Butterfly Forum,"Austin, TX",austinbutterflies.org,"Butterflies, Pollinator Conservation, Community Science, Native Gardens, Education","Austin Butterfly Forum promotes butterfly conservation and public pollinator awareness through field trips, butterfly counts, native gardening, conservation projects, and educational meetings."
Austin Area Beekeepers Association,"Austin, TX",austinbeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Austin Area Beekeepers Association supports new and experienced beekeepers through meetings, training, mentorship, and public outreach about bees and hive management."
Lady Bird Johnson Wildflower Center,"Austin, TX",wildflower.org,"Native Plants, Pollinator Habitat, Research, Education, Conservation","The Wildflower Center advances native-plant conservation and sustainable landscapes, providing research, gardens, and educational resources that support bees, butterflies, and other pollinators."
Native Plant Society of Texas — Austin Chapter,"Austin, TX",npsot.org/chapters/austin,"Native Plants, Pollinator Habitat, Conservation, Education, Plant Sales","The Austin Chapter promotes locally native plants through education, plant sales, field activities, and community resources that help create habitat for pollinators."
City of Austin Bee City USA,"Austin, TX",austintexas.gov/parks/bee-city,"Bee City USA, Native Bees, Public Habitat, Pesticide Reduction, Education","Austin's Bee City USA program expands pollinator habitat, promotes native plants and nesting sites, reduces pesticide risks, and engages the public in pollinator conservation."
Zilker Botanical Garden Conservancy,"Austin, TX",zilkergarden.org,"Botanical Garden, Butterflies, Native Plants, Pollinator Education, Community Programs","Zilker Botanical Garden provides educational gardens, native plants, and habitat that help visitors learn about butterflies, bees, and pollinator-friendly gardening."
Beevo Beekeeping Society,"Austin, TX",utexas.campuslabs.com/engage/organization/beevobeekeepingsociety,"Student Organization, Beekeeping, Native Pollinators, Education, Sustainability","The University of Texas student organization promotes beekeeping, native pollinator awareness, hands-on education, community outreach, and sustainability-focused activities."
Travis County Master Gardeners,"Austin, TX",travis-tx.tamu.edu/about-2/horticulture,"Pollinator Gardens, Native Plants, Gardening Education, Community Outreach, Habitat",Travis County Master Gardeners provide research-based horticulture education and local guidance for creating gardens that support pollinators and conserve water.
Nashville Area Beekeepers Association,"Nashville, TN",nashbee.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Nashville Area Beekeepers Association equips local beekeepers through meetings, training, mentoring, practical resources, and public education about honey bees."
Neighbors for Native Plants,"Nashville, TN",neighbors4nativeplants.org,"Native Plants, Pollinator Habitat, Community Distribution, Education, Conservation","Neighbors for Native Plants distributes locally appropriate native plants throughout Nashville and the Cumberland River Basin to expand connected habitat for bees, butterflies, and wildlife."
Nashville Zoo — Pollinator Conservation,"Nashville, TN",nashvillezoo.org/pollinators-conservation,"Beekeeping, Monarchs, Native Plants, Pollinator Education, Conservation","Nashville Zoo supports pollinators through beekeeping, monarch conservation, native-plant programs, habitat projects, and guest education."
Cheekwood Estate & Gardens,"Nashville, TN",cheekwood.org,"Botanical Garden, Butterflies, Native Plants, Pollinator Habitat, Education","Cheekwood maintains gardens and educational programs that support butterflies, bees, hummingbirds, and other pollinators while teaching visitors about plants and conservation."
Tennessee Native Plant Society,"Nashville, TN",tnps.org,"Native Plants, Pollinator Habitat, Conservation, Education, Field Programs","The Tennessee Native Plant Society promotes native flora through education, conservation, field activities, and resources that help communities create pollinator-supporting landscapes."
Warner Parks Nature Center,"Nashville, TN",warnerparks.org,"Pollinator Gardens, Native Habitat, Environmental Education, Community Science, Volunteering","Warner Parks Nature Center offers native-habitat education, pollinator garden programs, natural-area stewardship, and volunteer opportunities in Nashville."
Shelby Bottoms Nature Center & Greenway,"Nashville, TN",nashville.gov/departments/parks/nature-centers-and-natural-areas/shelby-bottoms,"Native Pollinators, Urban Habitat, Education, Restoration, Community Programs","Shelby Bottoms provides urban natural habitat, environmental education, and restoration opportunities that support butterflies, bees, and other wildlife along the Cumberland River."
Cumberland River Compact,"Nashville, TN",cumberlandrivercompact.org,"Native Plants, Watersheds, Pollinator Habitat, Community Projects, Education","Cumberland River Compact leads watershed and community greening projects, including native planting and environmental education that can improve habitat for pollinators."
Saint Louis Beekeepers,"St. Louis, MO",saintlouisbeekeepers.com,"Honey Bees, Beekeeping, Education, Research, Mentorship","Saint Louis Beekeepers connects regional beekeepers through meetings, expert presentations, education, and practical discussion of hive health and pollinator conservation."
Missouri Botanical Garden,"St. Louis, MO",mobot.org,"Botanical Research, Native Plants, Pollinators, Conservation, Education",Missouri Botanical Garden conducts plant science and conservation while maintaining gardens and educational programs that support and explain pollinator biodiversity.
Shutterbee,"St. Louis, MO",shutterbee.net,"Native Bees, Community Science, Photography, Research, Education","Shutterbee engages St. Louis residents in photographing and documenting backyard bees, generating community-science data about urban pollinator diversity and habitat."
Seed St. Louis,"St. Louis, MO",seedstl.org,"Community Gardens, Pollinator Habitat, Urban Agriculture, Education, Native Plants","Seed St. Louis supports hundreds of community gardens and orchards, including pollinator plantings, while providing materials, education, and neighborhood gardening assistance."
St. Louis Audubon Society — Bring Conservation Home,"St. Louis, MO",stlouisaudubon.org/bch,"Native Plants, Pollinator Habitat, Home Certification, Education, Conservation","Bring Conservation Home helps residents create native, wildlife-friendly landscapes that provide food and habitat for bees, butterflies, birds, and other species."
Wild Ones St. Louis Chapter,"St. Louis, MO",stlwildones.org,"Native Plants, Pollinator Gardens, Habitat Restoration, Education, Community Outreach","Wild Ones St. Louis promotes native landscaping and biodiversity through educational programs, garden resources, plant events, and community conservation."
Butterfly House — Missouri Botanical Garden,"St. Louis, MO",butterflyhouse.org,"Butterflies, Invertebrates, Pollinator Education, Conservation, Exhibits","The Sophia M. Sachs Butterfly House provides live butterfly exhibits, insect education, conservation programming, and gardens that demonstrate pollinator habitat."
Forest Park Forever,"St. Louis, MO",forestparkforever.org,"Urban Habitat, Native Plants, Restoration, Pollinators, Community Stewardship","Forest Park Forever restores and maintains natural areas and landscapes in Forest Park, creating habitat for pollinators while engaging volunteers and visitors in urban conservation."
Mecklenburg County Beekeepers Association,"Charlotte, NC",meckbees.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Mecklenburg County Beekeepers Association supports Charlotte-area beekeepers through meetings, classes, mentoring, demonstrations, and public education."
Wing Haven,"Charlotte, NC",winghavengardens.org,"Butterflies, Native Plants, Pollinator Habitat, Education, Gardens","Wing Haven operates public gardens and environmental education programs in Charlotte, maintaining plantings that support butterflies, bees, birds, and other wildlife."
Daniel Stowe Conservancy,"Charlotte, NC",danielstoweconservancy.org,"Botanical Garden, Butterflies, Pollinator Habitat, Education, Conservation","Daniel Stowe Conservancy maintains gardens and natural areas in the Charlotte metro that provide habitat and educational opportunities involving butterflies, bees, and plants."
Catawba Lands Conservancy,"Charlotte, NC",catawbalands.org,"Habitat Conservation, Native Plants, Pollinators, Restoration, Community Stewardship","Catawba Lands Conservancy protects and restores natural areas across the Charlotte region, supporting native plant communities and habitat for pollinators."
Carolina Raptor Center — Pollinator Meadow Programs,"Charlotte, NC",carolinaraptorcenter.org,"Pollinator Habitat, Native Meadows, Education, Wildlife Conservation, Community Programs",Carolina Raptor Center's conservation campus includes native habitat and educational programming that can connect pollinator meadows with broader wildlife conservation.
North Carolina Native Plant Society — Southern Piedmont Chapter,"Charlotte, NC",ncwildflower.org/chapters/southern-piedmont,"Native Plants, Pollinator Habitat, Conservation, Education, Field Programs","The Southern Piedmont Chapter promotes native plants and habitat conservation through educational meetings, field trips, and resources for the Charlotte region."
Charlotte Wildlife Stewards,"Charlotte, NC",charlottewildlife.org,"Pollinators, Wildlife Habitat, Native Plants, Community Education, Certification","Charlotte Wildlife Stewards encourages residents and organizations to create wildlife-friendly spaces with native plants, water, shelter, and pesticide-conscious practices that support pollinators."
TreesCharlotte,"Charlotte, NC",treescharlotte.org,"Urban Forest, Flowering Trees, Pollinator Habitat, Community Planting, Education",TreesCharlotte expands and cares for the city's tree canopy through community plantings and education; flowering native trees provide important forage and habitat for pollinators.
New Orleans Beekeepers Club,"New Orleans, LA",nolabeeclub.com,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","New Orleans Beekeepers Club connects local beekeepers and bee enthusiasts through meetings, education, mentoring, and practical support for urban and regional beekeeping."
Longue Vue House and Gardens,"New Orleans, LA",longuevue.com,"Pollinator Gardens, Native Plants, Education, Botanical Garden, Community Programs",Longue Vue maintains historic and educational gardens with pollinator-friendly plantings and offers community programs focused on horticulture and the environment.
New Orleans Botanical Garden,"New Orleans, LA",neworleanscitypark.org/visit-city-park/botanical-garden,"Botanical Garden, Butterflies, Pollinator Habitat, Native Plants, Education","The New Orleans Botanical Garden maintains diverse plant collections and demonstration gardens that provide habitat and learning opportunities involving bees, butterflies, and other pollinators."
Native Plant Initiative of Greater New Orleans,"New Orleans, LA",npi-gno.org,"Native Plants, Pollinator Habitat, Conservation, Education, Community Projects","The Native Plant Initiative promotes locally native plants through education, demonstration gardens, community projects, and habitat restoration that support pollinators."
Audubon Louisiana Nature Center,"New Orleans, LA",audubonnatureinstitute.org/nature-center,"Native Habitat, Pollinators, Environmental Education, Conservation, Community Programs","The nature center provides environmental education and restored Louisiana habitats where visitors can learn about native plants, insects, and pollinating wildlife."
Groundwork New Orleans,"New Orleans, LA",groundworknola.org,"Urban Greening, Pollinator Gardens, Youth Programs, Environmental Justice, Native Plants","Groundwork New Orleans leads youth and community projects that improve green spaces, gardens, and environmental resilience, creating opportunities to add and monitor pollinator habitat."
Parkway Partners,"New Orleans, LA",parkwaypartnersnola.org,"Community Gardens, Urban Greening, Native Plants, Education, Pollinator Habitat","Parkway Partners supports community gardens, urban forestry, and neighborhood greening throughout New Orleans, including plantings that benefit bees, butterflies, and other wildlife."
Crescent City Farmers Market — Market Umbrella,"New Orleans, LA",marketumbrella.org,"Urban Agriculture, Pollination, Community Education, Local Food, Sustainability","Market Umbrella supports local farmers and food systems in the New Orleans region, offering a connection to growers who depend on pollinators and may have practical monitoring or habitat needs."
Franklin County Pollinator Pathway,"Columbus, OH",franklinpollinatorpathway.org,"Pollinator Corridors, Native Plants, Community Education, Habitat Restoration, Volunteering","Franklin County Pollinator Pathway is a volunteer-run nonprofit that connects residents, schools, and community groups to create linked pollinator habitats across the Columbus area."
Central Ohio Beekeepers Association,"Columbus, OH",centralohiobeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Central Ohio Beekeepers Association supports new and experienced beekeepers through meetings, apiary education, mentoring, and public outreach about honey bees and responsible hive management."
Franklin Park Conservatory and Botanical Gardens,"Columbus, OH",fpconservatory.org,"Botanical Garden, Pollinator Education, Honey Bees, Butterflies, Youth Programs","Franklin Park Conservatory maintains gardens and an apiary while offering educational programs about plants, bees, butterflies, and the importance of pollinators in urban environments."
Chadwick Arboretum and Learning Gardens,"Columbus, OH",chadwickarboretum.osu.edu,"Native Plants, Pollinator Habitat, Research, Education, Demonstration Gardens",Ohio State University's Chadwick Arboretum maintains teaching gardens and native plantings that support pollinators while providing horticulture education and volunteer opportunities.
Columbus Audubon,"Columbus, OH",columbusaudubon.org,"Native Plants, Wildlife Habitat, Pollinators, Conservation, Community Education","Columbus Audubon promotes wildlife-friendly landscapes and native plants that provide food and shelter for birds, butterflies, bees, and other pollinating wildlife."
Columbus Zoo and Aquarium,"Columbus, OH",columbuszoo.org,"Pollinator Gardens, Conservation, Butterflies, Native Plants, Education","The Columbus Zoo maintains pollinator gardens and provides conservation education about native plants, monarch butterflies, bees, and other species that depend on healthy habitat."
Ohio Pollinator Habitat Initiative,"Columbus, OH",ohiopollinator.org,"Pollinator Habitat, Monarchs, Native Seeds, Agriculture, Community Outreach","The Ohio Pollinator Habitat Initiative coordinates habitat creation, native seed collection, education, and partnerships that support monarchs and other pollinators across central Ohio."
Ohio State University Bee Lab,"Columbus, OH",u.osu.edu/beelab,"Bee Research, Native Pollinators, Hive Health, Education, Extension","The Ohio State Bee Lab conducts research and extension work on honey bees and native pollinators and provides science-based resources for beekeepers, educators, and communities."
Keep Indianapolis Beautiful,"Indianapolis, IN",kibi.org,"Pollinator Counts, Native Plants, Urban Greening, Community Science, Volunteering","Keep Indianapolis Beautiful creates and maintains green spaces, leads the KIBEE pollinator count, and engages residents in native planting and biodiversity projects."
Indiana Native Plant Society,"Indianapolis, IN",indiananativeplants.org,"Native Plants, Pollinator Gardens, Conservation, Education, Plant Resources","Indiana Native Plant Society promotes native plants through education, plant resources, habitat programs, and outreach that helps residents support bees, butterflies, and other pollinators."
Indiana State Beekeepers Association,"Indianapolis, IN",indianabeekeeper.com,"Honey Bees, Beekeeping, Education, Hive Health, Mentorship","Indiana State Beekeepers Association connects beekeepers and local clubs with training, meetings, research updates, and practical resources for maintaining healthy colonies."
Garfield Park Conservatory and Sunken Garden,"Indianapolis, IN",garfieldgardensconservatory.org,"Botanical Garden, Butterflies, Pollinator Plants, Education, Community Programs",Garfield Park Conservatory maintains plant collections and outdoor gardens that support pollinators while offering horticulture and environmental education to Indianapolis residents.
Newfields,"Indianapolis, IN",discovernewfields.org,"Gardens, Native Plants, Pollinator Habitat, Art and Nature, Education","Newfields manages extensive gardens and natural areas where native and ornamental plants provide habitat for bees, butterflies, hummingbirds, and other pollinators."
Indiana Wildlife Federation,"Indianapolis, IN",indianawildlife.org,"Wildlife Habitat, Native Plants, Pollinators, Conservation, Education","Indiana Wildlife Federation supports habitat restoration and community education, including projects that improve native plant resources for pollinators and other wildlife."
Purdue Extension Marion County,"Indianapolis, IN",extension.purdue.edu/county/marion,"Master Gardeners, Pollinator Education, Native Plants, School Gardens, Outreach",Purdue Extension Marion County provides research-based gardening education and connects schools and residents with Master Gardeners and pollinator-friendly landscaping resources.
Indy Parks and Recreation,"Indianapolis, IN",parks.indy.gov,"Urban Parks, Pollinator Habitat, Native Plants, Volunteering, Environmental Education","Indy Parks manages natural areas and community green spaces where teams could support habitat monitoring, native planting, pollinator surveys, and environmental education."
Phipps Conservatory and Botanical Gardens,"Pittsburgh, PA",phipps.conservatory.org,"Botanical Garden, Pollinator Education, Native Plants, Research, Youth Programs","Phipps Conservatory offers gardens, sustainability programs, and educational resources that connect native plants, pollinator conservation, and environmental science."
Pittsburgh Parks Conservancy,"Pittsburgh, PA",pittsburghparks.org,"Urban Parks, Habitat Restoration, Native Plants, Pollinators, Volunteering","Pittsburgh Parks Conservancy restores and improves city parks through native planting, ecological management, volunteer projects, and environmental education."
Western Pennsylvania Conservancy,"Pittsburgh, PA",waterlandlife.org,"Conservation, Community Gardens, Native Plants, Pollinator Habitat, Restoration","Western Pennsylvania Conservancy protects natural areas and manages community gardens and green spaces, many of which include native perennial beds that support pollinators."
Audubon Society of Western Pennsylvania,"Pittsburgh, PA",aswp.org,"Birds, Pollinators, Native Plants, Habitat, Environmental Education","Audubon Society of Western Pennsylvania manages nature centers and promotes native landscapes that support birds, butterflies, bees, and other wildlife."
Penn State Extension Master Gardeners of Allegheny County,"Pittsburgh, PA",extension.psu.edu/programs/master-gardener/counties/allegheny,"Master Gardeners, Pollinator Certification, Native Plants, Education, Community Outreach","Allegheny County Master Gardeners provide pollinator-friendly garden certification, workshops, technical guidance, and community education throughout the Pittsburgh region."
Meadow Sweet Apiaries,"Pittsburgh, PA",meadowsweetbees.com,"Urban Beekeeping, Honey Bees, Hive Management, Education, Local Agriculture","Meadow Sweet Apiaries operates hives across western Pennsylvania and provides practical experience with bee health, hive monitoring, swarm management, and urban beekeeping."
Pollinator Pathway Pittsburgh,"Pittsburgh, PA",pollinator-pathway.org/towns/pittsburgh,"Pollinator Corridors, Native Plants, Habitat Mapping, Community Gardens, Education",Pollinator Pathway Pittsburgh connects local gardens and public spaces into a network of pollinator-friendly habitat and shares regional native plant and certification resources.
University of Pittsburgh Pollinator Program,"Pittsburgh, PA",sustainable.pitt.edu/initiatives/landscape-ecology/pollinators,"Bee Campus USA, Native Bees, Pollinator Gardens, Research, Student Engagement","The University of Pittsburgh maintains pollinator gardens, supports native bee conservation, and involves students in habitat projects, education, and sustainability activities."
Baltimore Green Space,"Baltimore, MD",baltimoregreenspace.org,"Community Gardens, Pollinator Research, Native Plants, Urban Habitat, Environmental Justice",Baltimore Green Space supports community-managed green spaces and leads projects that study and improve pollinator habitat in city neighborhoods.
Wild Ones Greater Baltimore,"Baltimore, MD",baltimore.wildones.org,"Native Plants, Pollinator Habitat, Education, Garden Tours, Conservation","Wild Ones Greater Baltimore helps residents create ecologically healthy landscapes using native plants that support bees, butterflies, birds, and other wildlife."
Baltimore City Master Gardeners,"Baltimore, MD",baltimorecitymg.org,"Pollinator Gardens, School Gardens, Native Plants, Technical Assistance, Education","Baltimore City Master Gardeners provide consultations, presentations, and support for school, community, butterfly, and pollinator gardens across the city."
Maryland Native Plant Society,"Baltimore, MD",mdflora.org,"Native Plants, Habitat Conservation, Pollinators, Field Trips, Education","Maryland Native Plant Society protects and promotes native flora through education, field programs, plant resources, and conservation work that benefits pollinators."
Cylburn Arboretum Friends,"Baltimore, MD",cylburn.org,"Arboretum, Native Plants, Pollinator Gardens, Education, Volunteering","Cylburn Arboretum Friends supports Baltimore's public arboretum, gardens, and educational programs, including native plant landscapes that provide urban pollinator habitat."
Irvine Nature Center,"Baltimore, MD",explorenature.org,"Nature Center, Native Habitat, Pollinators, Youth Education, Conservation","Irvine Nature Center manages forests, meadows, and gardens near Baltimore and provides hands-on environmental education focused on native wildlife and healthy habitats."
Maryland State Beekeepers Association,"Baltimore, MD",mdbeekeepers.org,"Honey Bees, Beekeeping, Education, Research, Local Clubs","Maryland State Beekeepers Association connects regional clubs and beekeepers with educational meetings, research information, and resources on colony health and management."
National Aquarium Conservation,"Baltimore, MD",aqua.org/support/conservation,"Urban Conservation, Native Plants, Habitat Restoration, Community Science, Education",The National Aquarium leads habitat restoration and community science projects in Baltimore that improve urban ecosystems and can support pollinators alongside aquatic and coastal wildlife.
City of Raleigh Wildlife and Pollinator Program,"Raleigh, NC",raleighnc.gov/parks-and-recreation/services/pollinator-protection-projects/wildlife-and-pollinator-program,"Bee City USA, Monarchs, Native Plants, Public Parks, Community Education","Raleigh's Wildlife and Pollinator Program creates habitat, distributes native plants, coordinates volunteers, and educates residents about bees, butterflies, and other pollinators."
North Carolina State Beekeepers Association,"Raleigh, NC",ncbeekeepers.org,"Honey Bees, Beekeeping, Certification, Education, Local Chapters","The North Carolina State Beekeepers Association supports local bee schools, certification, research, and practical education for beekeepers throughout the Raleigh region and state."
JC Raulston Arboretum,"Raleigh, NC",jcra.ncsu.edu,"Arboretum, Pollinator Plants, Horticulture Research, Education, Gardens",JC Raulston Arboretum at NC State maintains diverse plant collections and educational gardens that provide opportunities to study plant-pollinator relationships.
North Carolina Botanical Garden,"Raleigh, NC",ncbg.unc.edu,"Native Plants, Conservation, Pollinator Habitat, Research, Education","The North Carolina Botanical Garden in the Triangle conserves native plants and habitats and offers educational programs that support bees, butterflies, and other pollinators."
North Carolina Native Plant Society,"Raleigh, NC",ncwildflower.org,"Native Plants, Pollinator Gardens, Conservation, Education, Plant Resources","North Carolina Native Plant Society provides regional plant guidance, educational events, and conservation resources for creating wildlife- and pollinator-friendly landscapes."
Wake County Extension Master Gardener Volunteers,"Raleigh, NC",wake.ces.ncsu.edu,"Master Gardeners, Pollinator Education, Native Plants, Community Gardens, Outreach","Wake County Master Gardener volunteers provide research-based gardening advice and community education on native plants, pollinator habitat, and sustainable landscapes."
