Organization,Location,ZIP Code,Website,Tags,Description,Cooperative Extension?,URL Audit Status,URL Audit Notes
Kentucky Cooperative Extension Service — Trigg County,"Cadiz, KY",42211,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Trigg County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Trigg County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Harrison County,"Cadiz, OH",43907,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Harrison County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Harrison County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Grady County,"Cairo, GA",39828,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Grady County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Grady County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Alexander County,"Cairo, IL",62914,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Alexander County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Alexander County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Maine Cooperative Extension — Washington County,"Calais, ME",04619,extension.umaine.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Maine Cooperative Extension — Washington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Washington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Noble County,"Caldwell, OH",43724,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Noble County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Noble County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Burleson County,"Caldwell, TX",77836,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Burleson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Burleson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Calhoun County,"Calhoun City, MS",38916,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Calhoun County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Calhoun County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Gordon County,"Calhoun, GA",30701,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Gordon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gordon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
"University of Nevada, Reno Extension — Lincoln County","Caliente, NV",89008,extension.unr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Nevada, Reno Extension — Lincoln County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lincoln County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Moniteau County,"California, MO",65018,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Moniteau County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Moniteau County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UMass Extension — Middlesex County,"Cambridge, MA",02142,ag.umass.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UMass Extension — Middlesex County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Middlesex County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Maryland Extension — Dorchester County,"Cambridge, MD",21613,extension.umd.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Maryland Extension — Dorchester County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Dorchester County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Isanti County,"Cambridge, MN",55008,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Isanti County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Isanti County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Furnas County,"Cambridge, NE",69022,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Furnas County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Furnas County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Guernsey County,"Cambridge, OH",43725,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Guernsey County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Guernsey County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Wilcox County,"Camden, AL",36726,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Wilcox County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wilcox County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arkansas Cooperative Extension Service — Ouachita County,"Camden, AR",71701,uaex.uada.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arkansas Cooperative Extension Service — Ouachita County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Ouachita County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Camden County,"Camden, NC",27921,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Camden County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Camden County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Rutgers Cooperative Extension — Camden County,"Camden, NJ",08104,extension.rutgers.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Rutgers Cooperative Extension — Camden County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Camden County.",TRUE,Corrected,njaes.rutgers.edu/extension → extension.rutgers.edu. Rutgers Cooperative Extension now uses the current Extension site.
Clemson Cooperative Extension — Kershaw County,"Camden, SC",29020,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Kershaw County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Kershaw County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Benton County,"Camden, TN",38320,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Benton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Benton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Clinton County,"Cameron, MO",64429,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Clinton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clinton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Mitchell County,"Camilla, GA",31730,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Mitchell County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mitchell County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Real County,"Camp Wood, TX",78833,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Real County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Real County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Taylor County,"Campbellsville, KY",42718,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Taylor County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Taylor County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Wolfe County,"Campton, KY",41301,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Wolfe County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wolfe County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Hemphill County,"Canadian, TX",79014,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Hemphill County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hemphill County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Yellow Medicine County,"Canby, MN",56220,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Yellow Medicine County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Yellow Medicine County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Towner County,"Cando, ND",58324,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Towner County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Towner County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Fremont County,"Canon City, CO",81212,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Fremont County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Fremont County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Fulton County,"Canton, IL",61520,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Fulton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Fulton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Lewis County,"Canton, MO",63435,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Lewis County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lewis County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Stark County,"Canton, OH",44714,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Stark County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Stark County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Van Zandt County,"Canton, TX",75103,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Van Zandt County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Van Zandt County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Randall County,"Canyon, TX",79016,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Randall County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Randall County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UF/IFAS Extension — Lee County,"Cape Coral, FL",33990,sfyl.ifas.ufl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UF/IFAS Extension — Lee County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lee County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Cape Girardeau County,"Cape Girardeau, MO",63701,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Cape Girardeau County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cape Girardeau County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Jackson County,"Carbondale, IL",62901,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Jackson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jackson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Macoupin County,"Carlinville, IL",62626,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Macoupin County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Macoupin County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Nicholas County,"Carlisle, KY",40311,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Nicholas County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Nicholas County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Cumberland County,"Carlisle, PA",17013,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Cumberland County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cumberland County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NMSU Cooperative Extension Service — Eddy County,"Carlsbad, NM",88220,aces.nmsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NMSU Cooperative Extension Service — Eddy County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Eddy County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Purdue Extension — Hamilton County,"Carmel, IN",46290,extension.purdue.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Purdue Extension — Hamilton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hamilton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — White County,"Carmi, IL",62821,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — White County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for White County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Tuscola County,"Caro, MI",48723,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Tuscola County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Tuscola County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UF/IFAS Extension — Franklin County,"Carrabelle, FL",32322,sfyl.ifas.ufl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UF/IFAS Extension — Franklin County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Franklin County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Foster County,"Carrington, ND",58421,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Foster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Foster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Dimmit County,"Carrizo Springs, TX",78834,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Dimmit County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Dimmit County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Carroll County,"Carroll, IA",51401,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Carroll County,"Carrollton, GA",30118,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Greene County,"Carrollton, IL",62016,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Greene County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Greene County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Carroll County,"Carrollton, KY",41008,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Carroll County,"Carrollton, MO",64633,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Carroll County,"Carrollton, OH",44615,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
"University of Nevada, Reno Extension — Carson City County","Carson City, NV",89701,extension.unr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Nevada, Reno Extension — Carson City County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carson City County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Bartow County,"Cartersville, GA",30121,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Bartow County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Bartow County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Leake County,"Carthage, MS",39051,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Leake County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Leake County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Smith County,"Carthage, TN",37030,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Smith County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Smith County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Panola County,"Carthage, TX",75633,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Panola County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Panola County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Pemiscot County,"Caruthersville, MO",63830,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Pemiscot County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pemiscot County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Wyoming Extension — Natrona County,"Casper, WY",82604,uwyo.edu/uwe,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Wyoming Extension — Natrona County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Natrona County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Douglas County,"Castle Rock, CO",80104,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Douglas County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Douglas County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Pembina County,"Cavalier, ND",58220,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Pembina County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pembina County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Utah State University Extension — Iron County,"Cedar City, UT",84720,extension.usu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Utah State University Extension — Iron County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Iron County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Linn County,"Cedar Rapids, IA",52404,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Linn County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Linn County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Polk County,"Cedartown, GA",30125,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Polk County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Polk County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Mercer County,"Celina, OH",45822,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Mercer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mercer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Clay County,"Celina, TN",38551,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Clay County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clay County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Saguache County,"Center, CO",81125,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Saguache County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Saguache County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Oliver County,"Center, ND",58530,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Oliver County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Oliver County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Shelby County,"Center, TX",75935,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Shelby County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Shelby County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Appanoose County,"Centerville, IA",52544,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Appanoose County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Appanoose County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Hickman County,"Centerville, TN",37033,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Hickman County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hickman County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Gilpin County,"Central City, CO",80452,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Gilpin County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gilpin County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Muhlenberg County,"Central City, KY",42330,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Muhlenberg County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Muhlenberg County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
